1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
675秒,1,内科‐心血管内科,3,2,2,3,3,3,2,4,5,1,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,2,4,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,1,3,5,1,3,3,4,4,3,5,3,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,3
758秒,1,内科‐心血管内科,1,2,1,3,2,2,2,4,4,1,4,5,4,5,4,3,1,4,3,4,4,4,4,4,1,1,5,4,1,4,4,2,4,2,2,3,3,3,4,3,3,2,3,4,3,2,2,2,2,4,3,4,4,4,4,3,4,3,5,2,2,3,4,4,4,4,3,1,3,4,3,4,3,3,3,4,4,4,4,4,2,3,3,3,3,3,3,3,3
469秒,1,内科‐心血管内科,2,2,1,3,2,2,1,4,4,1,4,4,4,4,4,4,4,4,3,4,4,2,4,5,2,2,4,3,3,4,4,2,4,2,2,2,2,4,3,3,2,2,2,4,3,2,1,2,3,4,1,4,4,2,3,2,3,2,3,1,1,4,3,4,4,4,2,3,2,3,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,1,1,1,1
324秒,1,内科‐心血管内科,1,2,1,3,2,2,2,3,3,2,4,4,4,4,3,2,2,4,2,3,3,3,3,4,2,2,4,4,2,4,3,2,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,2,4,4,3,4,4,2,3,3,2,3,4,3,3,4,2,4,3,3,3,3,3,5,3,3,3,2,2,3,4,4,4,1,1,2,2,3,2,1,1,1,1
458秒,1,内科‐心血管内科,1,2,1,3,1,1,2,4,5,4,5,5,4,5,2,4,2,4,5,5,4,2,4,4,4,3,4,2,4,4,3,2,4,4,1,2,1,4,4,1,1,1,2,4,1,2,2,1,3,4,1,4,4,3,4,4,3,5,5,3,3,4,4,4,4,5,3,3,4,3,3,4,4,3,3,4,3,2,3,3,3,3,1,1,1,1,1,1,1
479秒,2,内科‐心血管内科,2,2,2,3,2,2,1,4,4,1,4,5,4,5,1,4,1,5,4,4,4,4,4,4,1,2,4,4,1,4,4,1,4,1,2,2,2,4,3,2,3,2,3,4,3,2,2,2,2,2,4,4,4,4,3,3,4,4,4,3,3,3,5,5,5,5,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3
409秒,1,内科‐心血管内科,4,2,2,3,3,4,5,5,4,3,5,5,5,5,2,4,1,5,4,5,5,1,5,5,5,1,5,5,5,5,4,2,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,2,1,5,5,5,5,4,4,3,5,1,3,5,5,4,5,5,3,2,3,4,2,2,3,3,2,2,2,2,2,1,2,2,2,3,3,3,2,2,2
512秒,1,内科‐血液内科,3,2,2,3,3,4,1,5,5,2,5,5,5,5,1,4,1,5,2,5,5,2,4,5,1,2,5,4,2,5,5,1,1,2,1,1,1,5,3,1,1,2,1,3,1,2,1,1,2,5,1,4,4,3,1,1,1,1,3,1,1,4,1,1,1,1,2,1,2,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
466秒,1,内科‐心血管内科,2,2,2,3,3,3,1,4,4,2,5,5,4,5,4,4,1,4,2,4,4,3,4,4,1,2,4,4,1,4,4,1,4,2,1,1,1,4,4,1,3,1,3,5,1,1,1,1,1,1,2,3,3,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
333秒,1,其他科室‐ICU,1,2,1,3,2,2,2,4,4,2,5,5,5,5,5,5,5,5,2,5,5,2,4,5,1,2,5,5,1,5,4,2,4,2,2,3,3,3,3,2,2,1,2,4,4,2,3,1,2,2,1,5,4,1,3,3,2,2,5,3,3,4,3,3,4,4,3,2,1,3,3,3,5,4,4,4,4,2,3,4,4,4,4,4,1,1,1,1,1
281秒,1,内科‐血液内科,4,2,2,4,3,5,1,5,4,1,5,5,5,5,1,5,1,4,1,5,5,1,4,5,1,1,5,4,1,4,5,1,5,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,3,2,4,4,4,3,3,3,3,1,1,1,3,2,1,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
378秒,1,内科‐心血管内科,4,2,2,3,3,4,1,4,4,1,5,5,5,5,4,4,3,3,5,5,4,4,4,3,2,2,3,3,2,4,4,2,3,2,2,2,2,4,3,2,2,3,2,3,2,2,2,2,3,5,2,5,4,4,3,3,3,3,3,3,3,4,4,4,4,5,4,2,2,5,2,5,2,2,2,3,3,2,2,4,3,2,2,2,2,2,2,2,2
2393秒,1,内科‐血液内科,2,2,1,4,3,3,2,4,4,1,5,5,4,5,4,4,1,4,3,5,4,4,3,5,1,1,5,4,1,5,4,1,4,2,2,2,2,4,4,2,3,2,3,5,2,3,2,2,2,3,2,4,4,4,4,3,3,3,4,4,3,5,4,4,5,4,4,4,5,5,4,4,3,3,3,3,4,3,4,1,3,2,1,1,2,1,2,2,1
603秒,1,内科‐血液内科,2,2,2,2,2,3,1,4,4,1,5,5,5,5,1,5,1,5,4,4,4,1,5,5,1,1,5,5,1,5,5,1,5,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
395秒,1,内科‐神经内科,4,2,2,3,3,4,1,5,4,2,4,4,5,5,5,5,5,5,4,4,4,2,4,4,3,2,5,1,2,4,4,3,4,3,3,2,2,4,4,2,4,2,3,4,3,4,2,3,3,5,3,3,4,5,4,3,3,3,5,2,3,4,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3
326秒,1,其他科室‐急诊科,3,2,2,4,3,4,2,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,4,3,2,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3
395秒,1,其他科室‐急诊科,3,1,2,4,3,4,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,4,4,4,1,5,5,1,5,5,1,5,1,1,1,1,5,5,1,1,5,1,5,1,1,1,1,1,2,1,4,5,2,1,1,1,1,5,1,1,4,5,1,5,3,4,4,5,1,1,5,5,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
514秒,1,内科‐心血管内科,2,2,1,3,2,2,1,4,4,2,4,5,5,5,1,4,1,4,3,4,4,1,4,4,1,3,4,4,3,5,4,2,4,1,2,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,2,3,3,4,3,3,3,3,4,3,2,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
416秒,1,内科‐神经内科,1,2,1,3,2,2,2,3,3,2,4,4,4,3,4,4,1,4,4,3,3,3,3,4,2,2,4,3,2,4,4,3,4,3,3,3,2,4,3,2,3,2,3,4,3,2,3,3,2,3,2,4,4,4,3,3,3,3,4,3,2,4,3,3,4,3,2,3,3,3,3,4,3,3,3,4,3,3,3,2,3,2,2,3,3,2,3,2,2
472秒,1,其他科室‐ICU,4,2,2,4,4,6,2,4,4,1,5,5,5,5,2,5,1,5,4,5,5,2,5,5,1,2,5,4,1,4,5,1,5,2,2,5,5,4,5,5,3,1,4,4,4,5,2,2,4,5,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,4,3,4,3,3,2,2,2,2,2,1,1,1
384秒,1,内科‐其他,4,2,2,3,3,4,1,3,4,2,5,5,5,5,2,5,1,5,5,5,5,4,5,5,2,1,5,4,1,5,5,3,5,1,4,4,5,2,2,5,4,2,4,4,4,4,3,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5
391秒,1,内科‐血液内科,1,2,1,3,1,2,2,3,4,2,4,4,4,4,3,4,4,4,3,4,4,4,4,4,2,2,4,3,3,2,4,2,4,3,3,3,4,2,3,2,2,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,2,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
467秒,1,内科‐其他,1,2,1,3,1,1,2,3,4,1,4,5,4,4,2,4,1,4,4,4,3,4,4,4,1,1,5,4,4,4,3,2,3,3,2,2,3,3,4,2,3,3,3,4,3,2,2,2,2,4,3,3,5,5,3,3,3,2,4,3,2,4,4,4,3,4,3,4,4,4,2,2,3,2,3,3,4,4,4,4,3,2,2,1,2,1,1,1,1
753秒,1,内科‐血液内科,3,2,2,3,3,4,2,5,5,1,5,5,5,5,2,4,1,4,2,5,5,1,5,5,1,1,5,5,1,5,5,1,5,1,1,1,1,3,5,2,2,2,2,5,2,2,2,2,2,3,2,3,4,3,1,1,1,1,3,1,1,2,2,3,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1
278秒,1,内科‐其他,3,2,2,3,2,4,2,4,4,4,4,4,4,4,3,3,1,4,4,4,4,2,4,4,1,1,5,3,3,4,4,2,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,1,3,1,2,2,3,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
355秒,1,内科‐神经内科,1,1,1,3,1,1,2,4,2,2,4,5,5,5,4,4,1,1,2,4,4,3,4,4,2,2,5,3,3,4,4,2,4,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,3,3,2,5,5,5,3,3,3,3,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
770秒,1,内科‐血液内科,2,2,2,3,3,3,1,5,5,1,5,5,5,5,1,5,1,5,2,5,5,4,5,5,1,2,5,5,1,4,5,1,5,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,5,5,4,4,3,2,3,2,1,5,3,5,5,3,4,1,5,3,3,5,3,2,2,2,3,2,3,3,1,1,1,1,1,1,1,1,1
375秒,1,内科‐血液内科,4,2,2,4,3,5,1,5,5,1,5,5,5,5,5,5,1,5,1,5,5,1,5,5,1,1,5,5,1,5,5,1,5,1,1,1,1,5,5,1,1,1,1,5,1,5,1,1,1,1,1,5,5,1,3,1,1,3,5,2,3,4,4,5,4,4,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
693秒,1,内科‐神经内科,4,2,2,4,3,5,2,4,4,2,5,5,5,5,4,4,2,4,2,4,4,2,4,5,1,2,4,4,2,4,4,2,4,2,2,2,2,4,4,2,2,2,2,5,2,3,2,2,2,2,2,2,4,2,3,4,2,2,2,4,1,4,3,2,4,2,2,3,4,4,3,4,2,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1
398秒,1,内科‐神经内科,1,1,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
569秒,1,其他科室‐急诊科,4,2,3,4,3,5,2,4,4,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,3,2,5,2,2,4,3,3,4,3,3,3,4,4,3,2,4,2,3,4,3,2,4,2,4,4,4,4,4,4,3,3,3,3,5,3,3,4,4,4,4,4,4,4,4,5,3,4,4,4,3,3,3,3,4,5,4,4,3,3,3,3,4,3,3
301秒,1,内科‐其他,1,2,1,3,1,1,2,3,4,1,4,4,4,4,3,3,1,4,3,4,3,3,4,4,1,1,5,3,3,4,3,2,3,3,3,3,3,3,3,2,3,3,3,4,2,2,3,2,2,5,3,3,3,3,3,3,3,3,4,2,2,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1
527秒,1,外科‐神经外科,4,2,2,3,3,5,1,5,5,1,5,5,5,5,1,5,1,5,3,5,5,2,4,5,1,1,5,5,1,5,5,1,5,1,2,3,2,4,3,2,3,1,2,4,2,2,2,2,2,3,2,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,3,5,4,4,3,3,3,2,3,2,2
473秒,1,内科‐血液内科,2,2,2,3,2,2,1,3,4,1,4,4,3,5,1,2,2,4,3,4,4,3,3,4,1,1,5,2,2,4,4,1,4,2,2,2,1,5,3,1,1,1,1,4,1,3,1,2,2,4,2,4,4,3,3,2,3,4,5,3,3,4,4,4,4,4,3,2,2,3,2,3,2,2,2,2,3,4,3,3,3,3,2,2,4,1,2,1,3
540秒,1,外科‐神经外科,2,2,2,3,2,3,2,3,4,3,4,4,4,4,2,4,2,4,2,4,4,2,4,4,2,2,4,2,2,2,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,4,2,5,2,2,3,3,1,2,1,4,3,4,3,2,2,2,2,3,2,2,2,1,2,2,2,2,1,1,1
671秒,1,其他科室‐肿瘤科,3,2,2,3,3,4,1,3,4,4,5,5,5,5,5,5,1,5,5,4,5,1,5,5,5,1,5,4,1,3,5,1,5,1,1,3,1,5,3,3,2,1,3,5,3,3,2,2,2,5,5,5,5,4,3,2,1,3,2,1,1,1,1,3,3,3,1,1,3,5,3,2,1,2,1,3,2,4,3,1,2,1,1,1,1,1,1,1,2
365秒,1,内科‐神经内科,3,2,2,3,3,4,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,4,4,5,3,3,3,2,5,1,3,1,1,3,2,1,4,5,5,1,3,4,5,5,3,1,4,4,1,2,2,1,1,2,3,1,4,3,3,1,3,2,1,2,2,1,1,1,3,2,1,1,1,3
346秒,1,外科‐整形美容外科,5,2,2,4,4,6,2,4,4,1,5,5,5,5,1,5,1,5,4,5,4,2,5,5,1,1,5,5,1,5,4,2,4,2,2,2,3,3,4,3,3,2,3,4,2,3,2,2,2,4,4,4,4,3,3,3,3,5,3,4,2,4,4,4,3,3,3,4,3,5,3,3,3,3,3,3,2,2,4,4,4,2,2,3,2,2,2,2,5
324秒,1,内科‐神经内科,1,2,1,3,1,1,2,3,4,2,4,4,4,4,2,2,2,4,2,4,4,3,4,4,1,2,4,4,2,4,4,2,4,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,1,2,2,2,2,2,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2
403秒,1,外科‐普外科,3,2,2,3,2,3,2,5,5,1,5,5,5,5,5,5,5,5,3,5,5,4,5,5,1,1,5,5,1,5,5,1,5,1,1,1,1,5,5,1,1,1,2,5,2,2,1,1,1,5,1,5,5,5,3,3,3,3,3,1,1,4,2,5,3,3,3,3,4,5,5,4,5,5,3,3,2,2,1,3,1,1,1,2,1,1,3,1,1
646秒,1,内科‐神经内科,4,2,2,3,3,5,2,5,5,1,5,5,5,5,4,5,1,5,5,5,5,2,4,4,1,1,5,5,1,4,4,4,4,1,3,3,4,2,3,2,3,2,3,4,3,2,2,2,2,2,3,4,4,3,1,2,1,3,5,1,1,2,2,3,3,1,1,2,3,3,3,4,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1
332秒,1,外科‐肝胆胰外科,1,2,1,3,2,2,2,4,4,2,4,4,4,4,2,4,2,4,2,4,4,2,4,4,2,2,4,4,2,3,4,2,4,2,3,3,4,2,4,3,4,2,4,4,4,3,2,2,2,2,3,3,4,2,4,3,3,4,5,3,4,5,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3
450秒,1,外科‐普外科,1,2,1,3,1,1,4,2,3,1,4,5,4,5,2,4,1,4,2,4,4,4,3,5,1,1,5,4,3,3,5,1,5,1,5,5,5,2,3,4,4,3,4,4,3,4,3,3,3,3,4,4,5,4,3,2,3,2,4,1,1,4,5,3,3,3,1,1,4,3,1,3,3,3,3,3,4,3,3,1,1,2,2,2,2,1,1,1,1
787秒,1,其他科室‐眼科,3,2,2,3,3,4,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,5,5,1,5,5,1,5,1,1,1,1,5,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,5,5,5,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,1,2
574秒,1,外科‐其他,5,2,2,4,4,6,1,4,5,4,5,5,5,5,2,5,4,5,4,5,5,5,4,5,1,1,5,4,1,5,5,1,5,2,2,5,5,4,5,2,3,2,3,5,2,2,3,2,4,5,5,5,5,5,1,3,3,2,5,2,3,5,3,4,5,4,3,1,3,5,2,3,3,3,3,3,3,1,3,5,4,4,5,2,2,3,2,2,3
362秒,1,外科‐其他,5,2,2,3,3,6,2,4,4,1,5,5,5,5,1,4,1,5,4,5,5,2,4,4,1,1,5,4,1,5,5,1,5,2,2,2,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,1,1
269秒,1,外科‐其他,1,2,1,3,1,1,3,3,5,1,5,5,5,5,1,4,1,5,2,4,4,1,4,5,1,1,5,5,1,5,5,1,5,2,1,1,2,4,4,1,1,1,1,5,1,2,1,1,2,2,1,5,5,1,3,3,3,3,4,2,2,3,3,3,3,3,1,1,3,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,1,1,1
804秒,1,其他科室‐耳鼻咽喉科,5,2,2,4,4,6,2,4,5,1,5,5,5,5,1,5,1,5,4,5,5,3,4,5,1,1,5,3,1,5,5,3,5,1,2,3,4,3,4,1,3,2,3,5,1,2,3,1,3,1,3,5,5,5,4,4,4,4,5,3,3,5,3,3,5,4,3,3,3,5,3,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,2,3,2
653秒,1,内科‐神经内科,3,2,2,3,3,4,2,4,3,3,5,5,5,4,2,3,4,4,4,5,4,2,3,5,1,2,4,3,2,4,5,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,3,2,3,1,3,3,1,1,4,1,3,4,5,3,3,5,5,3,5,3,3,2,5,4,4,4,1,2,4,3,3,3,3,4,4,4
735秒,1,内科‐其他,3,2,2,4,3,4,4,4,4,2,5,5,4,5,2,4,1,4,3,4,4,2,4,4,1,2,4,3,2,4,4,2,4,2,3,3,2,4,4,3,3,2,3,4,3,4,4,4,3,4,3,4,4,4,3,2,3,3,4,2,2,3,3,3,4,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,2
489秒,1,内科‐其他,3,2,2,3,3,4,2,3,4,2,4,4,4,4,2,4,2,4,4,4,4,3,4,4,3,2,4,3,4,3,3,2,4,3,2,2,3,3,2,2,2,3,2,4,2,3,2,4,3,4,2,2,2,3,4,3,4,3,4,2,2,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,4,3,2,2,3,3,2,2,2,2,2,2,2
316秒,1,其他科室‐ICU,2,2,1,3,2,3,4,4,4,3,4,4,4,5,1,5,1,5,2,4,4,2,4,4,1,1,1,3,2,5,4,1,4,2,2,2,4,4,4,1,1,4,1,4,2,2,2,2,2,2,2,4,4,4,5,4,5,4,5,4,4,5,5,4,5,4,5,3,3,5,5,5,4,4,4,5,3,3,3,5,5,3,3,5,2,2,1,5,4
386秒,1,外科‐肝胆胰外科,3,2,2,3,3,4,1,4,4,3,5,5,5,5,2,5,1,4,3,5,5,2,4,5,1,2,4,3,2,2,4,2,4,2,2,2,2,4,4,2,2,3,2,4,2,3,2,2,2,4,3,2,4,2,3,2,3,2,3,4,2,5,3,2,3,3,2,2,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2
364秒,1,其他科室‐麻醉科,3,2,3,4,3,4,4,4,4,3,4,4,4,4,3,3,3,4,2,4,4,2,4,4,4,3,4,4,2,4,4,2,4,2,2,2,2,4,4,2,2,2,2,4,2,4,2,2,2,2,2,4,4,2,3,3,3,3,2,2,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2
340秒,1,外科‐整形美容外科,1,2,1,3,1,1,1,4,4,1,5,5,5,5,3,3,1,4,1,4,5,2,4,4,1,4,4,4,1,3,3,2,3,1,1,1,1,5,5,2,1,1,2,3,1,3,1,1,3,4,1,5,5,1,5,4,4,3,3,2,2,4,3,4,3,2,2,2,2,4,2,3,4,4,4,4,3,2,4,5,3,2,1,1,1,1,1,2,1
393秒,2,其他科室‐ICU,4,2,2,4,3,5,1,5,4,1,5,5,5,5,4,3,1,5,4,5,5,3,5,5,1,1,5,4,1,5,4,1,5,1,1,4,3,5,5,3,3,1,3,5,3,4,1,1,4,5,3,4,3,3,4,4,4,5,5,3,1,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,2,1,1,4,2,1,2,1,1
590秒,1,其他科室‐ICU,5,2,2,4,3,6,2,4,4,2,4,5,4,5,2,4,1,4,3,4,4,3,3,5,1,2,5,4,2,4,4,2,4,1,2,3,4,3,3,2,2,1,3,4,3,3,2,2,2,2,3,4,3,2,2,2,3,3,2,2,2,4,3,3,4,3,2,2,2,4,3,4,3,3,3,3,4,3,3,4,2,3,3,4,3,2,2,2,2
665秒,1,外科‐普外科,1,2,1,3,1,2,4,3,4,2,4,4,4,3,4,3,2,3,2,3,3,3,3,4,2,2,4,4,2,4,2,2,3,3,3,3,2,4,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,2,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,3
325秒,1,内科‐神经内科,4,2,2,3,3,5,2,4,4,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,5,4,1,5,5,1,5,1,1,1,1,5,5,1,1,1,2,5,1,2,1,2,2,2,2,2,5,3,3,3,3,4,1,1,1,3,4,3,3,4,4,5,4,4,3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
1057秒,1,内科‐血液内科,2,2,2,3,2,3,1,3,4,1,5,5,4,5,1,3,1,4,4,5,5,2,4,5,1,1,4,3,1,4,4,1,4,1,1,1,1,4,4,1,4,1,1,5,1,2,1,3,1,5,1,4,4,2,3,3,3,3,5,1,1,5,4,4,4,5,2,1,1,1,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
